num_conv_layers,num_motif,Dropout,Learning Rate,epochs,AUROC,AUPRC
1,40,0.0,0.0001,331,0.9608843537414966,0.9650174370292608
1,60,0.15,0.0001,236,0.9565177422320279,0.9656671690060047
1,30,0.3,0.0001,390,0.950266593123736,0.9599615689366464
1,60,0.3,0.001,26,0.9435558006986579,0.9529206093026055
2,30,0.15,0.001,23,0.9433259790402647,0.946319113759181
1,40,0.3,0.001,29,0.9430042287185144,0.9504557809912804
2,30,0.0,0.0001,167,0.9421309064166208,0.9542540797280048
2,40,0.3,0.0001,157,0.9404761904761905,0.9469043034455716
2,40,0.0,0.0001,135,0.9391432248575106,0.951450338640336
1,30,0.15,0.001,32,0.9389134031991175,0.9485380459765704
1,60,0.0,0.001,25,0.9361555432984006,0.9502414695724858
2,60,0.0,0.0001,100,0.9356958999816143,0.947536436908951
1,30,0.3,0.001,33,0.9349145063430777,0.9464233798851567
1,40,0.15,0.001,33,0.9328920757492186,0.944982376753905
2,30,0.15,0.0001,167,0.9328920757492185,0.9402292043900996
1,40,0.0,0.001,28,0.9312373598087884,0.9363099695004113
1,60,0.15,0.001,24,0.9235153520867806,0.9424235209646776
1,60,0.0,1e-05,500,0.9211252068394925,0.9351742084744706
2,60,0.3,1e-05,500,0.9194245265673837,0.929468588101666
2,40,0.15,0.001,22,0.918321382607097,0.9273557670172203
2,40,0.3,0.001,18,0.9172642029784887,0.9231090475389356
1,40,0.0,1e-05,500,0.915287736716308,0.9291366868150231
2,30,0.0,1e-05,500,0.9126218054789483,0.9292917741124465
2,30,0.3,1e-05,500,0.9081632653061225,0.9230502320063441
2,30,0.15,1e-05,500,0.89993564993565,0.9136723246601389
2,30,0.3,0.001,27,0.889065085493657,0.881924474767238
1,30,0.3,1e-05,500,0.8768155911013054,0.8940746033435062
2,30,0.3,0.01,28,0.8661518661518662,0.8807320298003921
2,40,0.3,0.01,24,0.8440430226144512,0.8667008495483435
2,60,0.15,0.01,1,0.5,0.7508474576271187
