num_conv_layers,num_motif,Dropout,Learning Rate,epochs,AUROC,AUPRC
2,40,0.15,0.0001,213,0.9542270531400966,0.9576603194886133
1,60,0.15,0.0001,300,0.952657004830918,0.9542425631525641
1,30,0.15,0.0001,500,0.9525362318840579,0.957580594622331
2,60,0.0,0.0001,186,0.9497584541062802,0.95551450611962
2,40,0.15,0.001,23,0.9483091787439614,0.959830455330499
2,60,0.0,0.001,25,0.946316425120773,0.9539927399674225
1,40,0.3,0.0001,402,0.9448067632850242,0.9466812524995013
2,40,0.0,0.0001,209,0.9409420289855073,0.9444833194787285
1,40,0.0,0.0001,418,0.9400966183574879,0.9460565458333015
2,30,0.15,0.0001,246,0.9345410628019324,0.9434832686857413
1,40,0.3,0.001,38,0.9295289855072464,0.9323489773944732
2,40,0.3,0.001,26,0.9253019323671497,0.9255988243754898
2,30,0.15,0.001,29,0.9015700483091788,0.9093540397751172
1,60,0.0,0.01,9,0.855072463768116,0.8720236843863556
2,40,0.15,1e-05,500,0.8300724637681158,0.8305165591668329
2,60,0.3,1e-05,500,0.8181159420289854,0.8430193619743414
1,30,0.15,0.01,17,0.8147342995169083,0.8176242379394154
2,40,0.0,1e-05,500,0.8103864734299516,0.823249631654595
2,60,0.15,1e-05,500,0.8082125603864735,0.8239695235871201
2,30,0.3,1e-05,500,0.8051932367149759,0.8373222195773117
1,60,0.3,1e-05,500,0.7891304347826086,0.808472340870236
2,30,0.0,1e-05,18,0.5444444444444444,0.5644652702262211
1,60,0.15,1e-05,41,0.5353864734299516,0.5901790751477213
2,60,0.3,0.01,7,0.5,0.7527472527472527
2,40,0.3,0.01,14,0.5,0.7527472527472527
2,60,0.0,0.01,2,0.5,0.7527472527472527
2,40,0.15,0.01,6,0.5,0.7527472527472527
2,40,0.0,0.01,2,0.5,0.7527472527472527
2,60,0.15,0.01,8,0.5,0.7527472527472527
2,30,0.15,1e-05,35,0.4527777777777778,0.5023776179846582
