num_conv_layers,num_motif,Dropout,Learning Rate,epochs,AUROC,AUPRC
2,60,0.15,0.0001,282,0.9762931034482759,0.977568678166031
2,40,0.15,0.0001,218,0.9634818007662835,0.9694285338532448
2,60,0.15,0.001,33,0.9600095785440613,0.968900878531251
1,60,0.0,0.0001,290,0.9595306513409962,0.9657030709844785
2,30,0.15,0.0001,244,0.9545019157088123,0.9610745377748411
1,40,0.0,0.001,43,0.9545019157088123,0.9646862170603894
1,30,0.15,0.0001,346,0.9400143678160919,0.9503985125158583
2,30,0.0,0.0001,218,0.9394157088122604,0.9404365843323257
1,30,0.3,0.0001,427,0.9388170498084292,0.9434391723980741
2,40,0.15,1e-05,500,0.9291187739463601,0.9379352589642651
1,30,0.3,0.001,43,0.9280411877394636,0.9349184047431198
2,60,0.3,1e-05,500,0.9031369731800767,0.9076337642426463
2,30,0.0,1e-05,500,0.8923611111111112,0.9020786489610491
2,40,0.0,0.001,12,0.8703304597701149,0.8879668559756597
1,30,0.0,0.01,8,0.8585967432950191,0.8709763330650425
1,60,0.15,0.01,12,0.8324952107279694,0.850313420368251
1,60,0.3,0.01,20,0.8309386973180076,0.8431239873081864
1,60,0.15,1e-05,500,0.7959770114942529,0.8039872195131523
1,40,0.0,0.01,27,0.7764008620689655,0.7846004644374036
2,40,0.0,1e-05,1,0.712883141762452,0.6869551790655614
1,30,0.15,0.01,9,0.6929477969348659,0.6914875993496159
2,60,0.15,1e-05,1,0.6755866858237547,0.6596390713222116
1,30,0.0,1e-05,500,0.6329022988505747,0.6617089853823486
2,30,0.15,1e-05,1,0.6157806513409961,0.630629067404304
2,40,0.3,1e-05,6,0.6137452107279693,0.6182468683715012
1,30,0.3,1e-05,48,0.5699832375478928,0.5955057174657225
2,60,0.3,0.01,19,0.5046695402298851,0.5997125455373405
2,30,0.15,0.01,6,0.5,0.7622950819672132
2,40,0.3,0.01,16,0.5,0.7622950819672132
1,40,0.3,1e-05,23,0.4758740421455938,0.5098713401578572
